,Address,Listing,City,Bed,Bth,Map,LotSz,SqFt,Year,DOM_CDOM,Area,Subdivision,DayofWkListed,MonthListed,YearListed,Date,SqFt.1,OrigPrice,ListPrice,SellingPrice,SPLP,Unnamed: 21,total_baths,full_baths,three_q_baths,half_baths,q_baths,coords,lat,lon
80,15 Vista Dr , 44016194  ,Storm Lake,3 ,3 (2 1 0 0)  ,",",18725.0,2196.0,1951,252/252,     East,  ,5,8,2013,8/23/2013, 92.78,279000,224000,203750,   90.96,41509,3,2,1,0,0,"(42.6425526442107, -95.2301668434365)",42.6425526442107,-95.2301668434365
81,704 Angier Dr , 44016208  ,Storm Lake,3 ,3 (2 1 0 0)  ,",",11970.0,1778.0,1970,58/58,     East,  ,5,6,2013,6/21/2013, 87.18,165000,163000,155000,   95.09,41446,3,2,1,0,0,"(42.6455713922234, -95.224919)",42.6455713922234,-95.224919
83,1001 W 6th St , 44016323  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",10680.0,1400.0,2013,86/86,     East,  ,5,7,2013,7/12/2013, 133.21,188500,188500,186500,   98.94,41467,3,3,0,0,0,"(42.64554, -95.214495)",42.64554,-95.214495
84,600 Lincoln Rd , 44016341  ,Storm Lake,4 ,4 (3 0 1 0)  ,",",9602.0,2560.0,2000,37/37,     East,  ,1,7,2013,7/1/2013, 76.95,204500,204500,197000,   96.33,41456,4,3,0,1,0,"(42.6534822, -95.1924039)",42.6534822,-95.1924039
85,602 Lakeshore Dr , 44016399  ,Storm Lake,2 ,2 (2 0 0 0)  ,",",7200.0,864.0,1955,1-Jan,     East,  ,1,6,2013,6/3/2013, 289.35,250000,250000,250000,  100.00,41428,2,2,0,0,0,"(42.6361063529865, -95.1928858376982)",42.6361063529865,-95.1928858376982
86,800 Kelvin Rd , 44016400  ,Storm Lake,3 ,3 (2 0 1 0)  ,",",31240.0,2092.0,1977,21/21,     East,  ,4,6,2013,6/6/2013, 91.78,195000,195000,192000,   98.46,41431,3,2,0,1,0,"(42.631037, -95.23907)",42.631037,-95.23907
88,202 W 3rd St , 44016458  ,Storm Lake,3 ,3 (2 0 1 0)  ,",",8005.0,2240.0,1992,83/83,     East,  ,3,9,2013,9/18/2013, 77.23,199500,189500,173000,   91.29,41535,3,2,0,1,0,"(42.6408722290106, -95.2023415498559)",42.6408722290106,-95.2023415498559
89,920 Angier Dr , 44016500  ,Storm Lake,3 ,3 (2 1 0 0)  ,",",12003.0,1887.0,1981,39/39,     East,  ,5,8,2013,8/23/2013, 102.28,209000,209000,193000,   92.34,41509,3,2,1,0,0,"(42.6481580416898, -95.2248344459938)",42.6481580416898,-95.2248344459938
90,1001 Walnut St , 44016541  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",8960.0,1240.0,1975,39/39,     East,  ,4,9,2013,9/19/2013, 120.97,159000,159000,150000,   94.34,41536,3,3,0,0,0,"(42.649697, -95.187912)",42.649697,-95.187912
92,1205 E 8th St , 44016316  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",11200.0,1802.0,2009,205/205,     East,  ,4,10,2013,10/17/2013, 130.41,259000,239900,235000,   97.96,41564,3,3,0,0,0,"(42.6483992857143, -95.1866695102041)",42.6483992857143,-95.1866695102041
93,312 Lake Avenue , 44016448  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",10400.0,2980.0,1923,363/363,     East,  ,2,6,2014,6/3/2014, 59.06,215000,176000,176000,  100.00,41793,3,3,0,0,0,"(42.6396517137297, -95.2010351473243)",42.6396517137297,-95.2010351473243
95,704 E 12th St , 44016508  ,Storm Lake,5 ,3 (2 1 0 0)  ,",",12125.0,1718.0,1995,140/140,     East,  ,4,12,2013,12/5/2013, 99.53,177500,172500,171000,   99.13,41613,3,2,1,0,0,"(42.654231, -95.1917702626263)",42.654231,-95.1917702626263
96,608 Lincoln Rd , 44016521  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",9603.0,1198.0,2005,329/329,     East,  ,2,7,2014,7/29/2014, 144.41,189750,179500,173000,   96.38,41849,3,3,0,0,0,"(42.6534822, -95.1924039)",42.6534822,-95.1924039
97,920 Emerald Dr , 44016609  ,Storm Lake,3 ,3 (2 0 1 0)  ,",",13395.0,2172.0,1956,52/52,     East,  ,5,10,2013,10/18/2013, 92.08,207500,207500,200000,   96.39,41565,3,2,0,1,0,"(42.6298362048806, -95.2367165404092)",42.6298362048806,-95.2367165404092
98,5 Vista Dr , 44016624  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",12272.0,2046.0,1949,75/75,     East,  ,2,11,2013,11/12/2013, 75.76,159900,159900,155000,   96.94,41590,3,2,0,1,0,"(42.6438996666667, -95.2258233333333)",42.6438996666667,-95.2258233333333
99,1001 E 8th St , 44016634  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",8995.0,1632.0,1968,30/30,     East,  ,5,10,2013,10/18/2013, 94.98,165000,165000,155000,   93.94,41565,2,2,0,0,0,"(42.648401, -95.188679)",42.648401,-95.188679
100,709 E 10th St , 44016740  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",10950.0,1060.0,1982,30/30,     East,  ,5,11,2013,11/22/2013, 144.34,157500,157500,153000,   97.14,41600,2,1,1,0,0,"(42.6511520997174, -95.1913416754164)",42.6511520997174,-95.1913416754164
101,904 Kelvin , 44016746  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",18184.0,1514.0,1953,173/173,     East,  ,4,4,2014,4/17/2014, 107.99,168500,164250,163500,   99.54,41746,2,2,0,0,0,"(42.629798197867, -95.2390642358605)",42.629798197867,-95.2390642358605
102,705 Clover Ln , 44016763  ,Storm Lake,4 ,4 (4 0 0 0)  ,",",15400.0,2094.0,1991,160/160,     East,  ,4,4,2014,4/17/2014, 102.67,225000,220000,215000,   97.73,41746,4,4,0,0,0,"(42.630873596292, -95.2413575961093)",42.630873596292,-95.2413575961093
104,500 Otsego St , 44016784  ,Storm Lake,4 ,2 (2 0 0 0)  ,",",8400.0,2864.0,1930,170/170,     East,  ,5,5,2014,5/2/2014, 66.86,225000,193900,191500,   98.76,41761,2,2,0,0,0,"(42.642645, -95.206384)",42.642645,-95.206384
105,909 N Mae St , 44016900  ,Storm Lake,5 ,3 (2 0 1 0)  ,",",9014.0,2240.0,1976,86/86,     East,  ,3,5,2014,5/7/2014, 75.89,189500,189500,170000,   89.71,41766,3,2,0,1,0,"(42.6485054410582, -95.1900377118585)",42.6485054410582,-95.1900377118585
106,1704 W 6th St , 44016950  ,Storm Lake,4 ,4 (3 0 1 0)  ,",",20013.0,2653.0,1971,42/42,     East,  ,2,5,2014,5/27/2014, 75.39,215000,215000,200000,   93.02,41786,4,3,0,1,0,"(42.645316555883, -95.2257307587861)",42.645316555883,-95.2257307587861
107,805 Russell St , 44016951  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",12271.0,2036.0,1930,22/22,     East,  ,5,4,2014,4/11/2014, 81.53,169900,169900,166000,   97.70,41740,3,3,0,0,0,"(42.6476042814275, -95.1908998359286)",42.6476042814275,-95.1908998359286
108,1107 W 6th St , 44017029  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",10680.0,1478.0,2014,43/43,     East,  ,1,6,2014,6/16/2014, 134.98,199500,199500,199500,  100.00,41806,3,3,0,0,0,"(42.6455379052556, -95.2151556246349)",42.6455379052556,-95.2151556246349
110,1005 W 5th St , 44017125  ,Storm Lake,5 ,3 (2 0 1 0)  ,",",8793.0,1968.0,1925,61/61,     East,  ,5,8,2014,8/22/2014, 80.28,158000,158000,158000,  100.00,41873,3,2,0,1,0,"(42.644449, -95.2138366734694)",42.644449,-95.2138366734694
111,204 Geneseo St , 44017185  ,Storm Lake,5 ,3 (2 0 0 1)  ,",",9375.0,2290.0,1941,49/49,     East,  ,1,10,2014,10/13/2014, 76.42,210000,185000,175000,   94.59,41925,3,2,0,0,1,"(42.6380003877551, -95.2035463469388)",42.6380003877551,-95.2035463469388
112,1309 W 6th St , 44017188  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",11893.0,2019.0,1950,30/30,     East,  ,1,9,2014,9/15/2014, 77.27,159900,159900,156000,   97.56,41897,3,2,0,1,0,"(42.645526, -95.2201591409723)",42.645526,-95.2201591409723
113,5 Vista Dr , 44017193  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",12272.0,2046.0,1949,30/30,     East,  ,5,8,2014,8/29/2014, 76.25,159900,159900,156000,   97.56,41880,3,3,0,0,0,"(42.6438996666667, -95.2258233333333)",42.6438996666667,-95.2258233333333
114,701 Maywood Dr , 44016813  ,Storm Lake,4 ,2 (2 0 0 0)  ,",",9603.0,1298.0,2007,666/666,     East,  ,2,9,2015,9/22/2015, 115.56,182000,159888,150000,   93.82,42269,2,2,0,0,0,"(42.6527701973032, -95.192236299627)",42.6527701973032,-95.192236299627
115,926 Leona Cir , 44016863  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",15400.0,2158.0,1993,439/439,     East,  ,3,4,2015,4/15/2015, 90.82,228000,199500,196000,   98.25,42109,3,2,0,1,0,"(42.6298015, -95.2428352)",42.6298015,-95.2428352
116,101 Lake Ave , 44016909  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",12410.0,3804.0,1952,402/402,     East,  ,4,3,2015,3/26/2015, 70.98,349000,275000,270000,   98.18,42089,2,2,0,0,0,"(42.636878, -95.200863)",42.636878,-95.200863
117,905 Evergreen Ave , 44016943  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",11227.0,1289.0,2014,276/276,     East,  ,5,1,2015,1/9/2015, 145.46,200000,189500,187500,   98.94,42013,3,3,0,0,0,"(42.6493913877551, -95.1867293673469)",42.6493913877551,-95.1867293673469
118,1700 Hyland Dr , 44016981  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",11970.0,2013.0,1972,269/269,     East,  ,3,12,2014,12/31/2014, 86.93,197500,184500,175000,   94.85,42004,3,2,0,1,0,"(42.647662, -95.224939)",42.647662,-95.224939
120,502 Lakeshore Dr , 44017178  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",7152.0,2170.0,1979,307/307,     East,  ,2,6,2015,6/16/2015, 134.79,358000,305000,292500,   95.90,42171,2,2,0,0,0,"(42.6386624328948, -95.2071362206583)",42.6386624328948,-95.2071362206583
