,Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,DayofWkListed,MonthListed,YearListed,Date,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths,lat,lon
64,1000 Kelvin Rd ,Storm Lake,3,10400,2038,1954,111/111,3,2,2012,2/15/2012,189900,189900,185000,2,2,0,0,0,42.6306973387274,-95.2390763476442
65,808 Meadow Ln ,Storm Lake,3,28000,2944,1980,21/21,3,12,2011,12/28/2011,269000,269000,265000,4,3,1,0,0,42.6321462564707,-95.2428938309472
66,515 Gran Dr ,Storm Lake,4,11655,1774,1967,148/148,3,5,2012,5/16/2012,176500,176500,172000,2,1,1,0,0,42.64328914573,-95.2193011050928
67,1115 W 6th St ,Storm Lake,4,10825,1250,2012,71/71,4,6,2012,6/14/2012,172500,172500,173500,3,3,0,0,0,42.6455377993984,-95.2152054833335
68,709 Emerald Dr ,Storm Lake,3,11700,1520,1964,97/97,1,8,2012,8/6/2012,168000,168000,158000,3,3,0,0,0,42.6333137851066,-95.2381377658073
69,916 Angier Dr ,Storm Lake,2,12489,1576,1974,58/58,1,7,2012,7/9/2012,159900,159900,150000,2,1,0,1,0,42.6481014799227,-95.224834790183
70,203 Geneseo St ,Storm Lake,3,11200,2079,1907,74/74,4,7,2012,7/26/2012,239000,219500,205000,2,2,0,0,0,42.6379726938776,-95.2033236734694
71,509 Lincoln Rd ,Storm Lake,3,9740,1400,1990,49/49,5,9,2012,9/14/2012,162500,162500,161000,2,2,0,0,0,42.6534822,-95.1924039
72,607-609 Larchwood Dr ,Storm Lake,6,9442,2832,1972,32/32,1,9,2012,9/24/2012,169500,169500,165000,4,4,0,0,0,42.6445366675939,-95.2171620877388
73,604 E Lakeshore Dr ,Storm Lake,3,8780,1337,1996,413/413,5,10,2012,10/26/2012,214500,199500,189000,3,2,0,1,0,42.6361077059731,-95.1928966753965
76,704 Clover Ln ,Storm Lake,3,14000,1327,1980,170/170,5,12,2012,12/7/2012,188500,179000,175000,3,3,0,0,0,42.6308725101919,-95.24158071581
77,1817 W 6th St ,Storm Lake,4,9600,1582,2006,144/144,4,12,2012,12/13/2012,239000,229000,222000,3,3,0,0,0,42.6454682014864,-95.2276195103136
78,513 Swallum Dr ,Storm Lake,3,10067,1521,1964,296/296,3,7,2013,7/17/2013,169900,154900,154000,2,1,1,0,0,42.6430020396463,-95.2182331688906
80,15 Vista Dr ,Storm Lake,3,18725,2196,1951,252/252,5,8,2013,8/23/2013,279000,224000,203750,3,2,1,0,0,42.6425526442107,-95.2301668434365
81,704 Angier Dr ,Storm Lake,3,11970,1778,1970,58/58,5,6,2013,6/21/2013,165000,163000,155000,3,2,1,0,0,42.6455713922234,-95.224919
83,1001 W 6th St ,Storm Lake,4,10680,1400,2013,86/86,5,7,2013,7/12/2013,188500,188500,186500,3,3,0,0,0,42.64554,-95.214495
84,600 Lincoln Rd ,Storm Lake,4,9602,2560,2000,37/37,1,7,2013,7/1/2013,204500,204500,197000,4,3,0,1,0,42.6534822,-95.1924039
85,602 Lakeshore Dr ,Storm Lake,2,7200,864,1955,1-Jan,1,6,2013,6/3/2013,250000,250000,250000,2,2,0,0,0,42.6361063529865,-95.1928858376982
86,800 Kelvin Rd ,Storm Lake,3,31240,2092,1977,21/21,4,6,2013,6/6/2013,195000,195000,192000,3,2,0,1,0,42.631037,-95.23907
88,202 W 3rd St ,Storm Lake,3,8005,2240,1992,83/83,3,9,2013,9/18/2013,199500,189500,173000,3,2,0,1,0,42.6408722290106,-95.2023415498559
89,920 Angier Dr ,Storm Lake,3,12003,1887,1981,39/39,5,8,2013,8/23/2013,209000,209000,193000,3,2,1,0,0,42.6481580416898,-95.2248344459938
90,1001 Walnut St ,Storm Lake,3,8960,1240,1975,39/39,4,9,2013,9/19/2013,159000,159000,150000,3,3,0,0,0,42.649697,-95.187912
92,1205 E 8th St ,Storm Lake,4,11200,1802,2009,205/205,4,10,2013,10/17/2013,259000,239900,235000,3,3,0,0,0,42.6483992857143,-95.1866695102041
93,312 Lake Avenue ,Storm Lake,4,10400,2980,1923,363/363,2,6,2014,6/3/2014,215000,176000,176000,3,3,0,0,0,42.6396517137297,-95.2010351473243
95,704 E 12th St ,Storm Lake,5,12125,1718,1995,140/140,4,12,2013,12/5/2013,177500,172500,171000,3,2,1,0,0,42.654231,-95.1917702626263
96,608 Lincoln Rd ,Storm Lake,4,9603,1198,2005,329/329,2,7,2014,7/29/2014,189750,179500,173000,3,3,0,0,0,42.6534822,-95.1924039
97,920 Emerald Dr ,Storm Lake,3,13395,2172,1956,52/52,5,10,2013,10/18/2013,207500,207500,200000,3,2,0,1,0,42.6298362048806,-95.2367165404092
98,5 Vista Dr ,Storm Lake,4,12272,2046,1949,75/75,2,11,2013,11/12/2013,159900,159900,155000,3,2,0,1,0,42.6438996666667,-95.2258233333333
99,1001 E 8th St ,Storm Lake,3,8995,1632,1968,30/30,5,10,2013,10/18/2013,165000,165000,155000,2,2,0,0,0,42.648401,-95.188679
100,709 E 10th St ,Storm Lake,3,10950,1060,1982,30/30,5,11,2013,11/22/2013,157500,157500,153000,2,1,1,0,0,42.6511520997174,-95.1913416754164
101,904 Kelvin ,Storm Lake,3,18184,1514,1953,173/173,4,4,2014,4/17/2014,168500,164250,163500,2,2,0,0,0,42.629798197867,-95.2390642358605
102,705 Clover Ln ,Storm Lake,4,15400,2094,1991,160/160,4,4,2014,4/17/2014,225000,220000,215000,4,4,0,0,0,42.630873596292,-95.2413575961093
104,500 Otsego St ,Storm Lake,4,8400,2864,1930,170/170,5,5,2014,5/2/2014,225000,193900,191500,2,2,0,0,0,42.642645,-95.206384
105,909 N Mae St ,Storm Lake,5,9014,2240,1976,86/86,3,5,2014,5/7/2014,189500,189500,170000,3,2,0,1,0,42.6485054410582,-95.1900377118585
106,1704 W 6th St ,Storm Lake,4,20013,2653,1971,42/42,2,5,2014,5/27/2014,215000,215000,200000,4,3,0,1,0,42.645316555883,-95.2257307587861
107,805 Russell St ,Storm Lake,4,12271,2036,1930,22/22,5,4,2014,4/11/2014,169900,169900,166000,3,3,0,0,0,42.6476042814275,-95.1908998359286
108,1107 W 6th St ,Storm Lake,4,10680,1478,2014,43/43,1,6,2014,6/16/2014,199500,199500,199500,3,3,0,0,0,42.6455379052556,-95.2151556246349
110,1005 W 5th St ,Storm Lake,5,8793,1968,1925,61/61,5,8,2014,8/22/2014,158000,158000,158000,3,2,0,1,0,42.644449,-95.2138366734694
111,204 Geneseo St ,Storm Lake,5,9375,2290,1941,49/49,1,10,2014,10/13/2014,210000,185000,175000,3,2,0,0,1,42.6380003877551,-95.2035463469388
112,1309 W 6th St ,Storm Lake,4,11893,2019,1950,30/30,1,9,2014,9/15/2014,159900,159900,156000,3,2,0,1,0,42.645526,-95.2201591409723
113,5 Vista Dr ,Storm Lake,4,12272,2046,1949,30/30,5,8,2014,8/29/2014,159900,159900,156000,3,3,0,0,0,42.6438996666667,-95.2258233333333
114,701 Maywood Dr ,Storm Lake,4,9603,1298,2007,666/666,2,9,2015,9/22/2015,182000,159888,150000,2,2,0,0,0,42.6527701973032,-95.192236299627
115,926 Leona Cir ,Storm Lake,4,15400,2158,1993,439/439,3,4,2015,4/15/2015,228000,199500,196000,3,2,0,1,0,42.6298015,-95.2428352
116,101 Lake Ave ,Storm Lake,3,12410,3804,1952,402/402,4,3,2015,3/26/2015,349000,275000,270000,2,2,0,0,0,42.636878,-95.200863
117,905 Evergreen Ave ,Storm Lake,4,11227,1289,2014,276/276,5,1,2015,1/9/2015,200000,189500,187500,3,3,0,0,0,42.6493913877551,-95.1867293673469
118,1700 Hyland Dr ,Storm Lake,4,11970,2013,1972,269/269,3,12,2014,12/31/2014,197500,184500,175000,3,2,0,1,0,42.647662,-95.224939
120,502 Lakeshore Dr ,Storm Lake,3,7152,2170,1979,307/307,2,6,2015,6/16/2015,358000,305000,292500,2,2,0,0,0,42.6386624328948,-95.2071362206583
121,1005 Lighthouse Dr ,Storm Lake,4,3736,2028,1991,340/340,4,7,2015,7/9/2015,225000,175000,160000,3,3,0,0,0,42.6411587133184,-95.2138144046489
122,904 Angier Dr ,Storm Lake,4,12489,2142,1974,48/48,5,10,2014,10/31/2014,199500,199500,195500,4,3,0,1,0,42.647933040547,-95.2248533312936
123,1012 Oak Lane ,Storm Lake,4,9140,2315,1971,143/143,2,12,2014,12/30/2014,182000,178500,165000,3,2,1,0,0,42.6498399402421,-95.1891950965369
124,716 Winthrop Cir ,Storm Lake,3,23800,1590,1968,37/37,1,12,2014,12/1/2014,239000,239000,220000,3,2,1,0,0,42.6314762133135,-95.2367464717275
125,1204 E 9th St ,Storm Lake,3,11326,1264,2011,175/175,5,4,2015,4/17/2015,184750,173000,168000,2,2,0,0,0,42.649468258586,-95.1866596888925
126,1009 Evergreen Ave ,Storm Lake,5,11227,1283,2014,223/223,2,6,2015,6/16/2015,194500,185000,181031,3,2,0,1,0,42.6495685,-95.1868502
127,1113 Lincoln Rd ,Storm Lake,4,15184,1836,1974,38/38,2,12,2014,12/23/2014,215000,215000,206000,2,2,0,0,0,42.6514162414065,-95.1933526979795
128,1107 W 5th St ,Storm Lake,3,9441,1936,1936,117/117,5,3,2015,3/20/2015,157500,154900,151000,2,1,0,1,0,42.6444463636886,-95.2150458132676
129,716 Prairie Ln ,Storm Lake,4,15800,1696,2007,19/19,1,1,2015,1/26/2015,275000,275000,262500,3,3,0,0,0,42.6319043406966,-95.2441578788261
130,901 E 9th St ,Storm Lake,4,9148,2010,1974,32/32,1,2,2015,2/9/2015,159500,159500,157500,3,2,0,1,0,42.649657,-95.189253
131,1511 Shoreway Rd ,Storm Lake,3,20551,1754,1957,51/51,4,4,2015,4/23/2015,169900,168900,155000,2,1,0,1,0,42.6433424153645,-95.2208113763167
132,608 Lincoln Rd ,Storm Lake,4,9603,1198,2005,87/87,3,5,2015,5/27/2015,185000,185000,180000,3,3,0,0,0,42.6534822,-95.1924039
133,1001 W 6th St ,Storm Lake,4,10680,1400,2013,161/161,1,10,2015,10/5/2015,189900,189900,175000,3,3,0,0,0,42.64554,-95.214495
135,321 Ontario St ,Storm Lake,4,8400,1826,1994,41/41,5,5,2015,5/15/2015,189500,189500,185000,3,3,0,0,0,42.6397804384589,-95.2047370676259
136,708 Clover Ln ,Storm Lake,4,14770,2006,1987,174/174,5,10,2015,10/9/2015,189900,179000,173000,3,2,0,1,0,42.6309220203839,-95.24158143162
137,1111 W 6th St ,Storm Lake,5,10680,1886,2015,31/31,2,6,2015,6/16/2015,219500,219500,215000,3,3,0,0,0,42.645537852327,-95.2151805539842
138,207 Lake Ave ,Storm Lake,5,13600,3320,1910,60/60,4,7,2015,7/16/2015,198500,198500,187500,3,3,0,0,0,42.638001743023,-95.2008348639412
139,1009 Emerald Dr ,Storm Lake,3,17500,1144,1962,70/70,6,8,2015,8/8/2015,359000,315000,295000,2,2,0,0,0,42.6281717613031,-95.2362776022763
140,1805 W 6th St ,Storm Lake,3,11280,2088,1975,31/31,3,7,2015,7/22/2015,179000,179000,170000,3,3,0,0,0,42.6454665615329,-95.2278418776553
141,709 E 10th St ,Storm Lake,3,10950,1060,1982,23/23,5,8,2015,8/21/2015,160000,160000,153000,2,1,1,0,0,42.6511520997174,-95.1913416754164
142,704 Clover Ln ,Storm Lake,3,14000,1327,1980,162/162,5,10,2015,10/30/2015,179000,179000,172000,3,3,0,0,0,42.6308725101919,-95.24158071581
